03-28-2024 	 11:23:07   	 c85534a1-2d87-4ca7-9c6d-b6cae283368403-28-2024 	 11:25:34   	 706815c1-72e7-426b-bc00-5e5151f4aa91 	 undefined 
03-28-2024 	 11:27:03   	 1783c5b2-064c-458a-8de4-37a559066f66 	 Log Event Emited 
04-06-2024 	 10:31:16   	 ba17c00f-aef7-41e5-b468-71b371aaae52 	 GET 	 undefined 	 /index.html 
04-06-2024 	 10:31:16   	 034d9a68-313c-4396-925e-7ba365477062 	 GET 	 undefined 	 /favicon.ico 
04-06-2024 	 10:42:27   	 c7e92d89-4d01-4989-ac8d-e9cb466ae3b3 	 GET 	 undefined 	 /index.html 
04-06-2024 	 10:42:28   	 f384588f-0504-46bf-ba7b-8ce07d99a449 	 GET 	 undefined 	 /favicon.ico 
04-06-2024 	 10:58:03   	 956d6998-e9ea-4355-8c95-0e8d6b56230d 	 GET 	 undefined 	 /index.html 
04-06-2024 	 10:58:04   	 76737c92-dfb9-4a29-b2ba-156e8177eaf8 	 GET 	 undefined 	 /favicon.ico 
04-06-2024 	 11:08:04   	 ac54b1a4-61a5-4799-b0d2-b6086d147ff6 	 GET 	 undefined 	 /index.html 
04-06-2024 	 11:08:05   	 b6e41d8c-2983-4ad0-bc91-d49db4b7fda2 	 GET 	 undefined 	 /favicon.ico 
04-06-2024 	 11:15:26   	 66b6b8f9-d860-41f4-b67f-8cd709a47f3f 	 GET 	 undefined 	 /index.html 
04-06-2024 	 11:15:27   	 718745fb-e89c-41fc-a70a-0b85dc0af5df 	 GET 	 undefined 	 /favicon.ico 
04-06-2024 	 11:26:08   	 a15d80ae-55e9-4848-976b-dd42bf2fb3eb 	 OPTIONS 	 https://www.google.com 	 / 
04-06-2024 	 11:26:08   	 71b54a9f-02a7-428b-8c5c-87669e284984 	 GET 	 https://www.google.com 	 / 
04-06-2024 	 11:26:44   	 68dfac58-0451-43f2-a186-c01d6f6e1eeb 	 OPTIONS 	 https://www.google.com 	 / 
04-06-2024 	 11:26:44   	 b0eadffa-be1c-40b7-a98c-af22428c7353 	 GET 	 https://www.google.com 	 / 
04-06-2024 	 11:37:28   	 e3cc582b-217f-4fa4-9ec5-f511f70f794e 	 GET 	 undefined 	 /index.html 
04-06-2024 	 11:37:28   	 cfdbb789-068d-44b2-a3eb-3a0aff7a92f1 	 GET 	 undefined 	 /favicon.ico 
